row_type,obs_file,full_path,obs_datetime,datetime_source,duration_seconds,candidate_status,match_id,game_time,mech,round,game,map,confidence,match_status,notes
matched_comp_video,2026-03-07 19-12-24.mkv,G:\Videos\aasecond wave\2026-03-07 19-12-24.mkv,2026-03-07 19:12:24,filename,241.557,candidate,126282401365220,2026-03-08 01:15:00,JVN-11F,3,1,River City,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-07 19-21-48.mkv,G:\Videos\aasecond wave\2026-03-07 19-21-48.mkv,2026-03-07 19:21:48,filename,220.117,candidate,126621703784443,2026-03-08 01:25:00,JVN-11F,3,2,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-07 19-30-15.mkv,G:\Videos\aasecond wave\2026-03-07 19-30-15.mkv,2026-03-07 19:30:15,filename,250.467,candidate,126879401824342,2026-03-08 01:34:00,VT-5S,3,3,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-07 19-39-47.mkv,G:\Videos\aasecond wave\2026-03-07 19-39-47.mkv,2026-03-07 19:39:47,filename,302.848,candidate,126737667902459,2026-03-08 01:43:00,BSK-6CS,3,4,Vitric Station,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-07 19-48-50.mkv,G:\Videos\aasecond wave\2026-03-07 19-48-50.mkv,2026-03-07 19:48:50,filename,276.417,candidate,126711898098410,2026-03-08 01:53:00,MAL-MX90,3,5,Vitric Station,high,auto_matched,comp_date=2026-03-07; window_score=4.46; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-14 16-12-09.mkv,G:\Videos\aasecond wave\2026-03-14 16-12-09.mkv,2026-03-14 16:12:09,filename,475.95,candidate,172302976535690,2026-03-14 21:15:00,BSW-X1,4,1,Vitric Station,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-14 16-21-59.mkv,G:\Videos\aasecond wave\2026-03-14 16-21-59.mkv,2026-03-14 16:21:59,filename,302.434,candidate,171860594901361,2026-03-14 21:26:00,SDR-5K,4,2,River City,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-14 16-34-10.mkv,G:\Videos\aasecond wave\2026-03-14 16-34-10.mkv,2026-03-14 16:34:10,filename,349.632,candidate,171486932744358,2026-03-14 21:39:00,OSR-4D,4,3,River City,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-14 16-45-16.mkv,G:\Videos\aasecond wave\2026-03-14 16-45-16.mkv,2026-03-14 16:45:16,filename,628.928,candidate,172255731895139,2026-03-14 21:55:00,MAL-MX90,4,4,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-14 17-03-00.mkv,G:\Videos\aasecond wave\2026-03-14 17-03-00.mkv,2026-03-14 17:03:00,filename,314.35,candidate,172728178300523,2026-03-14 22:07:00,SDR-5K,4,5,Frozen City Night Classic,high,auto_matched,comp_date=2026-03-14; window_score=13.11; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-21 16-09-18.mkv,G:\Videos\aasecond wave\2026-03-21 16-09-18.mkv,2026-03-21 16:09:18,filename,225.472,candidate,35787441633370,2026-03-21 21:12:00,OSR-4D,5,1,Emerald Vale,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-21 16-19-36.mkv,G:\Videos\aasecond wave\2026-03-21 16-19-36.mkv,2026-03-21 16:19:36,filename,282.55,candidate,36534765946953,2026-03-21 21:24:00,FS9-K,5,2,Caustic Valley,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-21 16-32-37.mkv,G:\Videos\aasecond wave\2026-03-21 16-32-37.mkv,2026-03-21 16:32:37,filename,512.938,candidate,35564103332615,2026-03-21 21:41:00,SDR-5K,5,3,Caustic Valley,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-21 16-47-20.mkv,G:\Videos\aasecond wave\2026-03-21 16-47-20.mkv,2026-03-21 16:47:20,filename,323.648,candidate,36569125685578,2026-03-21 21:52:00,BSK-6CS,5,4,Terra Therma Crucible,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
matched_comp_video,2026-03-21 17-00-22.mkv,G:\Videos\aasecond wave\2026-03-21 17-00-22.mkv,2026-03-21 17:00:22,filename,201.5,candidate,36354377319492,2026-03-21 22:03:00,VT-5S,5,5,Terra Therma Crucible,high,auto_matched,comp_date=2026-03-21; window_score=11.35; candidate_videos=5; strong chronological alignment
excluded_short_clip,2026-02-21 20-08-24.mkv,G:\Videos\aasecond wave\2026-02-21 20-08-24.mkv,2026-02-21 20:08:24,filename,4.608,excluded_short_clip,,,,,,,,excluded,comp_date=2026-02-21; excluded from matching because candidate_status=excluded_short_clip
